Post Url,Likes,"Comments,collections",shares,Views,Post Date,selfkoc,video_id
https://www.tiktok.com/@neakasamagic1/video/7479856848145812782,1802,12,522,285600,2025-03-10,@neakasamagic1,7479856848145812782
https://www.tiktok.com/@dalmixqgivy/video/7479821788722007338,2,0,0,930,2025-03-10,@dalmixqgivy,7479821788722007338
https://www.tiktok.com/@dug20315fpo/video/7479806489516002606,31,0,2,1677,2025-03-10,@dug20315fpo,7479806489516002606
https://www.tiktok.com/@iciarykrr18/video/7479806495354375466,6,0,0,1199,2025-03-10,@iciarykrr18,7479806495354375466
https://www.tiktok.com/@alardo.richter/video/7479806479076232494,6,0,0,683,2025-03-10,@alardo.richter,7479806479076232494
https://www.tiktok.com/@eeds1g/video/7479060197541973291,11,2,1,1040,2025-03-08,@eeds1g,7479060197541973291
https://www.tiktok.com/@demps.8i/video/7479067655882968366,24,0,0,1429,2025-03-08,@demps.8i,7479067655882968366
https://www.tiktok.com/@obadia.goodman/video/7479067745074597166,32,1,1,943,2025-03-08,@obadia.goodman,7479067745074597166
https://www.tiktok.com/@ironease8/video/7479067768462052650,36,1,4,1088,2025-03-08,@ironease8,7479067768462052650
https://www.tiktok.com/@eeds1u/video/7479067764343459118,24,1,3,990,2025-03-08,@eeds1u,7479067764343459118
https://www.tiktok.com/@neakasamagic1/video/7479022814473948462,17,0,2,950,2025-03-08,@neakasamagic1,7479022814473948462
https://www.tiktok.com/@dalmixqgivy/video/7479022176046255402,9,0,0,381,2025-03-08,@dalmixqgivy,7479022176046255402
https://www.tiktok.com/@dug20315fpo/video/7479060075366141227,24,0,1,1715,2025-03-08,@dug20315fpo,7479060075366141227
https://www.tiktok.com/@iciarykrr18/video/7479060016520219950,12,0,0,1017,2025-03-08,@iciarykrr18,7479060016520219950
https://www.tiktok.com/@alardo.richter/video/7479060070630837547,21,1,0,1220,2025-03-08,@alardo.richter,7479060070630837547
https://www.tiktok.com/@eeds1g/video/7478701337438358827,31,1,3,1153,2025-03-07,@eeds1g,7478701337438358827
