kol_video_id,kol_title,kol_views,kol_likes,kol_comments,kol_video_url,,,
7472470649735350000 ,"A nursing bra is an essential item for every breastfeeding mom! It provides the right support, comfort, and convenience during this special journey. 💕 ✨ Why You Need a Nursing Bra: ✅ Easy Breastfeeding Access – Quick-release clasps for effortless nursing. ✅ Maximum Comfort – Soft, stretchy fabric that adapts to your changing body. ✅ Good Support – Reduces strain on your back and shoulders. ✅ Preve",8088988,43985,541,https://www.tiktok.com/@luvablebabystores1/video/7472470649735351558,,,
7467927294640670000 ,it hits the spot everytime ,8031078,1095447,4147,https://www.tiktok.com/@katie 2/video/7467927294640672033,,,
7458243040826670000 ,Big Powerful Portable Speaker 🔊 the JBL PartyBox 1000 Sound Testing 👌 #foryoupage #partybox #jbl #fyp #viralvideo #fyp #audio #bluetoothspeaker #portablespeaker #bass #newyork #la #losangeles #unitedstates #usa_tiktok ,7742731,115673,1747,https://www.tiktok.com/@9T4 DUSTIN/video/7458243040826674463,,,
7466744215305730000 ,JBL Partybox 320 White new model. #jblspeaker #jbl #portablespeaker #bass #jblpartybox ,7595969,135340,1640,https://www.tiktok.com/@Hilli Haryt/video/7466744215305735442,,,
7438432234299820000 ,"#ad Highly recommend these miniso translation earbuds They work great for real time translation, Music, Audio books, and phone calls! Best gift under $50!  #earbuds #earbudswireless #headphones #bestphoneaccessories #overearheadphones  #wirelessearbuds #headphonesbluetooth  #MINISO #giftunder50  #MINISOMS162 #MS162  #giftguide #ttsdelight #tiktokshopblackfriday #tiktokshopcybermonday  #tiktokshoph",7538870,189954,3776,https://www.tiktok.com/@Rachel/video/7438432234299821354,,,
7452083194544930000 ,Dragon fruit and yeti hoopla #kittgamingyoutube #bloxfruits ,7347744,125179,1854,https://www.tiktok.com/@Kitt Gaming/video/7452083194544934187,,,
7466491491708300000 ,JBL PartyBox Ultimate Loudspeaker for All Outdoor Parties | Sound Testing  . . #jbl #audio #loudspeaker #portablespeaker #outdoor #soundsystem #partybox #viralvideo #bass #sound #unitedstates #usa_tiktok ,6712661,318135,1930,https://www.tiktok.com/@9T4 DUSTIN/video/7466491491708308767,,,
7481942532700500000 ,Short film shot on iPhone 16 pro. With @Tilta Khronos kit. On @DJI Official RS4 Mini Actors @brunomaiaa @sanncarterof ,6661842,313205,5873,https://www.tiktok.com/@Blake Ridder/video/7481942532700507414,,,
7464161117640650000 ,Jbl PartyBox Ultimate Low Bass #jbl #jblpartyboxultimate #bass #fyp #viral #jblspeaker ,6465581,237124,2995,https://www.tiktok.com/@JBL Golden🔊/video/7464161117640658198,,,
7454362070784520000 ,Replying to @iamtamikasherman Hope this helps answer some questions. This smart Ring has been a game changer not to mention it look so great. #smartring #tiktokmademebuyit #ring #healthtracker #sleeptracker #bloodpressure #highbloodpressure #Fitness #healthring #smartwatch ,6146070,58346,991,https://www.tiktok.com/@Danielle | Mamahood+TTShop/video/7454362070784527647,,,
7480563024235970000 ,May God send me tons of money 🙏🏻🙏🏻#myusaminiso #chilkawa #miniso #rich #hachiware #usagi #plushies #collector #shopping #shoppingvlog #funny #happy #fyp #fypp #typ #foryou #fypage #ypppppppppppppppppppp #sanrio #moledy #NewYear #moledy #unboxing #california ,6139930,401900,69822,https://www.tiktok.com/@clementinaalzolay/video/7480563024235973919,,,
7473677452787630000 ,Miniso MS185 are worth EVERY penny #miniso #earphones #wirelessearphone #earbuds #wirelessearbuds ,6006496,111936,414,https://www.tiktok.com/@alex/video/7473677452787633454,,,
7491423006711940000 ,These new MINISO stitch blind boxes are so cute 🩵 #myminisousa #miniso #stitch #stitchlover #stitchfan #stitchfinds #liloandstitch #stitchcollection #stitchandangel #stitchcollector #stitchdisney #minisostitch #stitchshopping #stitchblindbox #minisofinds #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #parati #peluche #muñeco #regalos #stitchgifts #blindboxopening #blindboxunboxing #stitchpeluche ,5808953,693838,1622,https://www.tiktok.com/@Analih Solis/video/7491423006711942446,,,
