selfkoc_post_url,Likes,Comments,Shares,Post Date,selfkoc_account,video_id
https://www.tiktok.com/@maesftuijv6/video/7493549130833267998,3,0,0,4/16/2025,@maesftuijv6,7493549130833267998
https://www.tiktok.com/@lucky.ley6/video/7493547636725665054,2,0,0,4/16/2025,@lucky.ley6,7493547636725665054
https://www.tiktok.com/@twi662/video/7493548984490020142,12,1,1,4/16/2025,@twi662,7493548984490020142
https://www.tiktok.com/@twi662/video/7493355174296079658,0,0,0,4/15/2025,@twi662,7493355174296079658
https://www.tiktok.com/@lucky.ley6/video/7493210296908107039,12,0,3,4/15/2025,@lucky.ley6,7493210296908107039
https://www.tiktok.com/@maesftuijv6/video/7493354422311914782,0,0,0,4/15/2025,@maesftuijv6,7493354422311914782
https://www.tiktok.com/@hunterezkj8/video/7493355107501772063,42,0,3,4/15/2025,@hunterezkj8,7493355107501772063
https://www.tiktok.com/@lf6ai8wvknt/video/7493354985489485098,28,2,7,4/15/2025,@lf6ai8wvknt,7493354985489485098
https://www.tiktok.com/@twi662/video/7492986227260689710,8,2,1,4/14/2025,@twi662,7492986227260689710
https://www.tiktok.com/@maesftuijv6/video/7492986550175763742,31,1,2,4/14/2025,@maesftuijv6,7492986550175763742
https://www.tiktok.com/@lf6ai8wvknt/video/7492986248521403691,9,0,0,4/14/2025,@lf6ai8wvknt,7492986248521403691
https://www.tiktok.com/@hunterezkj8/video/7492986295887678751,22,0,3,4/14/2025,@hunterezkj8,7492986295887678751
https://www.tiktok.com/@leesan007/video/7493158001122086175,10,0,1,4/14/2025,@leesan007,7493158001122086175
https://www.tiktok.com/@raynesosa/video/7493158416664382763,18,0,5,4/14/2025,@raynesosa,7493158416664382763
https://www.tiktok.com/@nellietucker0/video/7493157920431983915,17,1,6,4/14/2025,@nellietucker0,7493157920431983915
https://www.tiktok.com/@marleycampbell5/video/7493158333608889646,9,0,1,4/14/2025,@marleycampbell5,7493158333608889646
https://www.tiktok.com/@sagehall0/video/7493157953000836394,5,1,2,4/14/2025,@sagehall0,7493157953000836394
https://www.tiktok.com/@sagehall0/video/7492796767096999214,2,0,0,4/14/2025,@sagehall0,7492796767096999214
https://www.tiktok.com/@marleycampbell5/video/7492797258484747562,35,1,7,4/14/2025,@marleycampbell5,7492797258484747562
https://www.tiktok.com/@nellietucker0/video/7492796569486429483,3,0,1,4/14/2025,@nellietucker0,7492796569486429483
https://www.tiktok.com/@raynesosa/video/7492797217560857899,14,0,0,4/14/2025,@raynesosa,7492797217560857899
https://www.tiktok.com/@leesan007/video/7492797285340843294,9,0,1,4/14/2025,@leesan007,7492797285340843294
https://www.tiktok.com/@lucky.ley6/video/7492978089694219550,6,0,1,4/14/2025,@lucky.ley6,7492978089694219550
https://www.tiktok.com/@lucky.ley6/video/7492777401995283742,6,1,0,4/14/2025,@lucky.ley6,7492777401995283742
https://www.tiktok.com/@hunterezkj8/video/7492439700041501983,10,0,4,4/13/2025,@hunterezkj8,7492439700041501983
https://www.tiktok.com/@lf6ai8wvknt/video/7492439594286386478,21,1,3,4/13/2025,@lf6ai8wvknt,7492439594286386478
https://www.tiktok.com/@schechter.denney/video/7492439693162827051,15,1,0,4/13/2025,@schechter.denney,7492439693162827051
https://www.tiktok.com/@maesftuijv6/video/7492439733621017886,3,0,1,4/13/2025,@maesftuijv6,7492439733621017886
https://www.tiktok.com/@lucky.ley6/video/7492413172654099742,26,0,2,4/13/2025,@lucky.ley6,7492413172654099742
