selfkoc_post_url,Likes,Comments,Views,Post Date,selfkoc_account,video_id
https://www.youtube.com//shorts/j_mIktOsUFg,8,0,479,3/22/2025,@barmanpsicologa,j_mIktOsUFg
https://www.youtube.com//shorts/A_t2PSTxDdE,7,0,5,3/20/2025,@emilie-s7q,A_t2PSTxDdE
https://www.youtube.com//shorts/jp4FfgaiU_c,51,0,2229,3/20/2025,@alpechahunter,jp4FfgaiU_c
https://www.youtube.com//shorts/mXiztPwzXcQ,36,0,4020,3/20/2025,@alpechahunter,mXiztPwzXcQ
https://www.youtube.com//shorts/UeG9iYwNvq0,23,0,1445,3/20/2025,@haydeeprovazek,UeG9iYwNvq0
https://www.youtube.com//shorts/5cvPYGQkIOU,311,10,54000,3/20/2025,@haydeeprovazek,5cvPYGQkIOU
https://www.youtube.com//shorts/fKwAC2siih8,68,4,15000,3/20/2025,@baobo-k6h,fKwAC2siih8
https://www.youtube.com//shorts/eDdg_MO0lG8,26,1,3361,3/20/2025,@baobo-k6h,eDdg_MO0lG8
https://www.youtube.com//shorts/yD2JPIkCIAQ,54,0,7446,3/20/2025,@annunziata-y6u,yD2JPIkCIAQ
https://www.youtube.com//shorts/HlTBotn0XPs,184,0,11000,3/20/2025,@annunziata-y6u,HlTBotn0XPs
https://www.youtube.com//shorts/I4YL69DrgZQ,50,0,2665,3/20/2025,@barmanpsicologa,I4YL69DrgZQ
https://www.youtube.com//shorts/eMKSotojya4,159,2,16000,3/20/2025,@barmanpsicologa,eMKSotojya4
https://www.youtube.com//shorts/MOKSNMhFNfU,172,0,15000,3/19/2025,@emilie-s7q,MOKSNMhFNfU
https://www.youtube.com//shorts/xMwAvmdRcJg,10,0,223,3/19/2025,@alpechahunter,xMwAvmdRcJg
https://www.youtube.com//shorts/V6D2kngQDF0,93,5,15000,3/19/2025,@haydeeprovazek,V6D2kngQDF0
https://www.youtube.com//shorts/gpUtOCepl6g,167,0,14000,3/19/2025,@baobo-k6h,gpUtOCepl6g
https://www.youtube.com//shorts/364PgJ4_J58,28,0,1378,3/19/2025,@annunziata-y6u,364PgJ4_J58
https://www.youtube.com//shorts/c4mRYhG04-A,6374,6,520000,3/19/2025,@barmanpsicologa,c4mRYhG04-A
https://www.youtube.com//shorts/8z0FLNIGtnA,52,1,3391,3/18/2025,@barmanpsicologa,8z0FLNIGtnA
